0,optic,CAS/ATTACHMENT_CAT_OPTIC,4,0,loadout_showcase_preview_optic,loadout_showcase_preview_small_optic,loadout_showcase_preview_large_optic,tag_reflex,,,,1,1,1
23,conversionkit,CAS/ATTACHMENT_CAT_CONVERSIONKIT,12,13,loadout_showcase_preview,loadout_showcase_preview_small,loadout_showcase_preview_large,,,,,0,0,0
24,comb,CAS/ATTACHMENT_CAT_COMB,11,5,loadout_showcase_preview_stock,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_stock,tag_rack_attach,,,,1,0,1
25,loader,CAS/ATTACHMENT_CAT_LOADER,8,4,loadout_showcase_preview_magazine,loadout_showcase_preview_small_magazine,loadout_showcase_preview_large_magazine,tag_mag_attach,,,,0,0,0
26,lever,CAS/ATTACHMENT_CAT_LEVER,10,5,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,tag_trigger_hide,,,,0,0,0
27,guardtwo,CAS/ATTACHMENT_CAT_GUARD,10,5,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_barrel_attach,,,,0,0,0
28,guardthree,CAS/ATTACHMENT_CAT_GUARD,11,5,loadout_showcase_preview_barrel,loadout_showcase_preview_small_trigger,loadout_showcase_preview_barrel,tag_barrel_attach,,,,0,0,0
29,reargriptwo,CAS/ATTACHMENT_CAT_REARGRIP,11,5,loadout_showcase_preview_reargrip,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_reargrip,tag_pistolgrip_attach,,,,1,0,1
30,reargripthree,CAS/ATTACHMENT_CAT_REARGRIPTHREE,10,5,loadout_showcase_preview_reargrip,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_reargrip,tag_pistolgrip_attach,,,,1,0,1
31,bolts,CAS/ATTACHMENT_CAT_BOLTS,7,8,loadout_showcase_preview,loadout_showcase_preview_small,loadout_showcase_preview_large,,,,,0,0,0
32,wires,CAS/ATTACHMENT_CAT_WIRE,8,4,loadout_showcase_preview_magazine,loadout_showcase_preview_small_magazine,loadout_showcase_preview_large_magazine,tag_mag_attach,,,,0,0,0
33,backpiecetwo,CAS/ATTACHMENT_CAT_BACK,10,5,loadout_showcase_preview_reargrip,loadout_showcase_preview_small_stock,loadout_showcase_preview_large_reargrip,tag_pistolgrip_attach,,,,0,0,0
34,carryhandle,CAS/ATTACHMENT_CAT_CARRYHANDLE,6,3,loadout_showcase_preview_underbarrel,loadout_showcase_preview_underbarrel,loadout_showcase_preview_large_underbarrel,tag_grip_attach,,,,1,0,1
35,triggertwo,CAS/ATTACHMENT_CAT_TRIGGER,10,5,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,loadout_showcase_preview_small_trigger,tag_trigger_hide,,,,1,1,1
