default,REPLACE_ME,hud_icon_hardpoint_diamond
gw_fob_01_locale_4,MP_BONEYARD_GW/CALLOUT_VISTA_POINT,icon_waypoint_status_plate
gw_fob_02_locale_4,MP_BONEYARD_GW/CALLOUT_SCRAP_YARD_OFFICE,icon_waypoint_status_plate
gw_fob_03_locale_4,MP_BONEYARD_GW/CALLOUT_SCRAP_YARD_WAREHOUSE,icon_waypoint_status_plate
gw_fob_04_locale_4,MP_BONEYARD_GW/CALLOUT_RED_PLANE,icon_waypoint_status_plate
gw_fob_05_locale_4,MP_BONEYARD_GW/CALLOUT_PURPLE_PLANE,icon_waypoint_status_plate
gw_fob_01_locale_5,MP_QUARRY2/CALLOUT_MANAGE,icon_waypoint_status_plate
gw_fob_02_locale_5,MP_QUARRY2/CALLOUT_RAIL,icon_waypoint_status_plate
gw_fob_03_locale_5,MP_QUARRY2/CALLOUT_BRIDGE,icon_waypoint_status_plate
gw_fob_04_locale_5,MP_QUARRY2/CALLOUT_SHIP,icon_waypoint_status_plate
gw_fob_05_locale_5,MP_QUARRY2/CALLOUT_BLOCK,icon_waypoint_status_plate
gw_fob_01_locale_6,MP_DOWNTOWN_GW/BANK,icon_waypoint_status_plate
gw_fob_02_locale_6,MP_DOWNTOWN_GW/PARLIAMENT,icon_waypoint_status_plate
gw_fob_03_locale_6,MP_DOWNTOWN_GW/CONSTRUCT,icon_waypoint_status_plate
gw_fob_04_locale_6,MP_DOWNTOWN_GW/MUSEUM,icon_waypoint_status_plate
gw_fob_05_locale_6,MP_DOWNTOWN_GW/BLOC,icon_waypoint_status_plate
gw_fob_01_locale_8,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_02_locale_8,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_03_locale_8,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_04_locale_8,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_05_locale_8,MP_ARM/FOB,icon_waypoint_status_plate
gw_fob_01_locale_9,MP_FARMS2_GW/CALLOUT_HAY_STORAGE,icon_waypoint_status_plate
gw_fob_02_locale_9,MP_FARMS2_GW/CALLOUT_LAUNCHERS,icon_waypoint_status_plate
gw_fob_03_locale_9,MP_FARMS2_GW/CALLOUT_CENTRAL_BARN,icon_waypoint_status_plate
gw_fob_04_locale_9,MP_FARMS2_GW/CALLOUT_SILOS,icon_waypoint_status_plate
gw_fob_05_locale_9,MP_FARMS2_GW/CALLOUT_WINDMILLS,icon_waypoint_status_plate
gw_fob_01_locale_19,MP_RIVERSIDE_GW/CALLOUT_HILLTOP,icon_waypoint_status_plate
gw_fob_02_locale_19,MP_RIVERSIDE_GW/CALLOUT_SCHOOL,icon_waypoint_status_plate
gw_fob_03_locale_19,MP_RIVERSIDE_GW/CALLOUT_HIDEOUT,icon_waypoint_status_plate
gw_fob_04_locale_19,MP_RIVERSIDE_GW/CALLOUT_FARMSTEAD,icon_waypoint_status_plate
gw_fob_05_locale_19,MP_RIVERSIDE_GW/CALLOUT_STORAGE,icon_waypoint_status_plate
gw_fob_01_locale_18,MP_PROMENADE_GW/CALLOUT_WEST_SHOPS,icon_waypoint_status_plate
gw_fob_02_locale_18,MP_PROMENADE_GW/CALLOUT_WEST_SHOPS,icon_waypoint_status_plate
gw_fob_03_locale_18,MP_PROMENADE_GW/CALLOUT_CENTER,icon_waypoint_status_plate
gw_fob_04_locale_18,MP_PROMENADE_GW/CALLOUT_EAST_SHOPS,icon_waypoint_status_plate
gw_fob_05_locale_18,MP_PROMENADE_GW/CALLOUT_ROUNDABOUT,icon_waypoint_status_plate
gw_fob_01_locale_10,MP_LAYOVER_GW/CALLOUT_POLICE_STATION,icon_waypoint_status_plate
gw_fob_02_locale_10,MP_LAYOVER_GW/CALLOUT_PARKING_LOT,icon_waypoint_status_plate
gw_fob_03_locale_10,MP_LAYOVER_GW/CALLOUT_CAR_DEALERSHIP,icon_waypoint_status_plate
gw_fob_04_locale_10,MP_LAYOVER_GW/CALLOUT_UNDERPASS,icon_waypoint_status_plate
gw_fob_05_locale_10,MP_LAYOVER_GW/CALLOUT_PARKING_GARAGE,icon_waypoint_status_plate
gw_fob_01_locale_17,MP_ANIYAH/CALLOUT_SHANTY_TOWN,icon_waypoint_status_plate
gw_fob_02_locale_17,MP_ANIYAH/CALLOUT_POOL_HOUSE,icon_waypoint_status_plate
gw_fob_03_locale_17,MP_ANIYAH/CALLOUT_PALACE,icon_waypoint_status_plate
gw_fob_04_locale_17,MP_ANIYAH/CALLOUT_TAXI_BUILDING,icon_waypoint_status_plate
gw_fob_05_locale_17,MP_ANIYAH/CALLOUT_SCHOOL,icon_waypoint_status_plate
gw_vehicle_technical_1,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate
gw_vehicle_technical_2,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate
gw_vehicle_technical_3,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate
gw_vehicle_technical_4,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate
gw_vehicle_technical_5,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate
gw_vehicle_technical_6,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate
gw_vehicle_technical_7,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate
gw_vehicle_technical_8,MP_ARM/RALLY_POINT_TRUCK,icon_waypoint_status_plate
gw_vehicle_littlebird_1,MP_ARM/RALLY_POINT_HELI,icon_waypoint_status_plate
gw_vehicle_littlebird_2,MP_ARM/RALLY_POINT_HELI,icon_waypoint_status_plate
gw_vehicle_apc_1,MP_ARM/RALLY_POINT_APC,icon_waypoint_status_plate
gw_vehicle_apc_2,MP_ARM/RALLY_POINT_APC,icon_waypoint_status_plate
gw_vehicle_armored_boat_1,MP_ARM/RALLY_POINT_BOAT,icon_waypoint_status_plate
gw_vehicle_armored_boat_2,MP_ARM/RALLY_POINT_BOAT,icon_waypoint_status_plate
risk_a,MP_ARM/FOB,icon_waypoint_status_plate
risk_b,MP_ARM/FOB,icon_waypoint_status_plate
risk_c,MP_ARM/FOB,icon_waypoint_status_plate
risk_d,MP_ARM/FOB,icon_waypoint_status_plate
risk_e,MP_ARM/FOB,icon_waypoint_status_plate
risk_f,MP_ARM/FOB,icon_waypoint_status_plate
risk_g,MP_ARM/FOB,icon_waypoint_status_plate
risk_h,MP_ARM/FOB,icon_waypoint_status_plate
risk_i,MP_ARM/FOB,icon_waypoint_status_plate
risk_j,MP_ARM/FOB,icon_waypoint_status_plate
risk_k,MP_ARM/FOB,icon_waypoint_status_plate
risk_l,MP_ARM/FOB,icon_waypoint_status_plate
risk_m,MP_ARM/FOB,icon_waypoint_status_plate
risk_n,MP_ARM/FOB,icon_waypoint_status_plate
risk_o,MP_ARM/FOB,icon_waypoint_status_plate
risk_p,MP_ARM/FOB,icon_waypoint_status_plate
risk_q,MP_ARM/FOB,icon_waypoint_status_plate
risk_r,MP_ARM/FOB,icon_waypoint_status_plate
risk_s,MP_ARM/FOB,icon_waypoint_status_plate
risk_t,MP_ARM/FOB,icon_waypoint_status_plate
risk_u,MP_ARM/FOB,icon_waypoint_status_plate
risk_v,MP_ARM/FOB,icon_waypoint_status_plate
risk_w,MP_ARM/FOB,icon_waypoint_status_plate
risk_x,MP_ARM/FOB,icon_waypoint_status_plate
risk_y,MP_ARM/FOB,icon_waypoint_status_plate
risk_z,MP_ARM/FOB,icon_waypoint_status_plate
risk_hq_axis,MP_ARM/HQ,icon_waypoint_ground_war_circle
risk_hq_allies,MP_ARM/HQ,icon_waypoint_ground_war_circle
risk_hq_team_three,MP_ARM/HQ,icon_waypoint_ground_war_circle
risk_hq_team_four,MP_ARM/HQ,icon_waypoint_ground_war_circle
_a,MP_ARM/FOB,icon_waypoint_status_plate
_b,MP_ARM/FOB,icon_waypoint_status_plate
_c,MP_ARM/FOB,icon_waypoint_status_plate
_d,MP_ARM/FOB,icon_waypoint_status_plate
_e,MP_ARM/FOB,icon_waypoint_status_plate
_f,MP_ARM/FOB,icon_waypoint_status_plate
tac_insert,MP/TAC_INSERT_SPAWN_SELECTION,
