choose,5,,,,,
zone,oldtwn_hotzone_04,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,mtntwn_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,mtntwn_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,mtntwn_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,marshland_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,marshland_hotzone_04,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,marshland_hotzone_05,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,marshland_hotzone_06,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,sira_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sira_hotzone_05,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,observatory_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,observatory_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,observatory_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,hydro_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_04,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_05,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_06,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_07,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_08,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_09,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,hydro_hotzone_10,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,fort_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,fort_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,fort_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,moderncity_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_06,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_07,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_08,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_09,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_10,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_11,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_12,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_13,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_14,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_15,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_16,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_17,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_18,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_19,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_20,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_21,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_22,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_24,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,moderncity_hotzone_25,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,fishtwn_hotzone_01,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,fishtwn_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,fishtwn_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,fishtwn_hotzone_04,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,fishtwn_hotzone_05,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,fishtwn_hotzone_06,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
choose,1,,,,,
zone,caves_hotzone_02,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,caves_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,caves_hotzone_04,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,caves_hotzone_05,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
choose,1,,,,,
zone,sunken_hotzone_04,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sunken_hotzone_05,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
zone,sunken_hotzone_06,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone, high tier
choose,1,,,,,
zone,exhume_hotzone_03,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
zone,exhume_hotzone_04,fortress,mp/loot/br/plunder/lootset_stronghold_high.csv,mp/loot/br/plunder/lootset_cache_spawns_stronghold.csv,,#Zone
