0,none,1,default,default,,0,CAMOS/DEFAULT,menu_default_slot,1
31,camo_c_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
32,camo_c_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
33,camo_c_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
34,camo_c_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
35,camo_c_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
36,camo_c_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
37,camo_c_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
38,camo_c_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
39,camo_c_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
40,camo_c_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
41,camo_c_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
42,camo_c_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
43,camo_c_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
44,camo_c_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
45,camo_c_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
46,camo_d_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
47,camo_d_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
48,camo_d_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
49,camo_d_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
50,camo_d_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
51,camo_d_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
52,camo_d_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
53,camo_d_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
54,camo_d_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
55,camo_d_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
56,camo_d_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
57,camo_d_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
58,camo_d_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
59,camo_d_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
60,camo_d_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
61,camo_e_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
62,camo_e_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
63,camo_e_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
64,camo_e_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
65,camo_e_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
66,camo_e_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
67,camo_e_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
68,camo_e_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
69,camo_e_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
70,camo_e_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
71,camo_e_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
72,camo_e_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
73,camo_e_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
74,camo_e_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
75,camo_e_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
76,camo_f_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
77,camo_f_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
78,camo_f_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
79,camo_f_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
80,camo_f_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
81,camo_f_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
82,camo_f_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
83,camo_f_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
84,camo_f_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
85,camo_f_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
86,camo_f_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
87,camo_f_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
88,camo_f_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
89,camo_f_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
90,camo_f_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
91,camo_g_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
92,camo_g_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
93,camo_g_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
94,camo_g_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
95,camo_g_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
96,camo_g_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
97,camo_g_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
98,camo_g_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
99,camo_g_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
100,camo_g_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
101,camo_g_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
102,camo_g_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
103,camo_g_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
104,camo_g_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
105,camo_g_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
106,camo_h_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
107,camo_h_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
108,camo_h_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
109,camo_h_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
110,camo_h_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
111,camo_h_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
112,camo_h_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
113,camo_h_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
114,camo_h_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
115,camo_h_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
116,camo_h_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
117,camo_h_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
118,camo_h_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
119,camo_h_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
120,camo_h_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
121,camo_i_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
122,camo_i_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
123,camo_i_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
124,camo_i_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
125,camo_i_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
126,camo_i_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
127,camo_i_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
128,camo_i_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
129,camo_i_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
130,camo_i_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
131,camo_i_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
132,camo_i_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
133,camo_i_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
134,camo_i_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
135,camo_i_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
136,camo_j_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
137,camo_j_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
138,camo_j_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
139,camo_j_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
140,camo_j_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
141,camo_j_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
142,camo_j_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
143,camo_j_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
144,camo_j_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
145,camo_j_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
146,camo_j_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
147,camo_j_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
148,camo_j_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
149,camo_j_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
150,camo_j_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
151,camo_k_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
152,camo_k_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
153,camo_k_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
154,camo_k_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
155,camo_k_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
156,camo_k_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
157,camo_k_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
158,camo_k_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
159,camo_k_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
160,camo_k_10,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
161,camo_k_11,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
162,camo_k_12,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
163,camo_k_13,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
164,camo_k_14,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
165,camo_k_15,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
166,camo_l_01,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
167,camo_l_02,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
168,camo_l_03,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
169,camo_l_04,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
170,camo_l_05,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
171,camo_l_06,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
172,camo_l_07,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
173,camo_l_08,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
174,camo_l_09,1,spray,challenge,MP_FRONTEND_ONLY/UNLOCKED_VIA_CHALLENGE,0,CAMOS/CAMO_01G,ui_camo_01g,1
