a0,b1,c2,d3,e4,g5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16
35,,404000,21100,RANK/MSGT,RANK/MSGT_FULL,,425100,,,,,,36,36,ranked_up_8,RANK/MSGT_FULL
36,,425100,21700,RANK/MSGT,RANK/MSGT_FULL2,,446800,,,,,,37,37,ranked_up_8,RANK/MSGT_FULL_N
37,,446800,22300,RANK/MSGT,RANK/MSGT_FULL3,,469100,,,,,,38,38,ranked_up_8,RANK/MSGT_FULL_N
38,,469100,22900,RANK/MSGT,RANK/MSGT_FULL4,,492000,,,,,,39,39,ranked_up_8,RANK/MSGT_FULL_N
39,,492000,23500,RANK/MSGT,RANK/MSGT_FULL5,,515500,,,,,,40,40,ranked_up_8,RANK/MSGT_FULL_N
40,,515500,24200,RANK/MSGSGT,RANK/MSGSGT_FULL,,539700,,,,,,41,41,ranked_up_9,RANK/MSGSGT_FULL
41,,539700,24900,RANK/MSGSGT,RANK/MSGSGT_FULL2,,564600,,,,,,42,42,ranked_up_9,RANK/MSGSGT_FULL_N
42,,564600,25600,RANK/MSGSGT,RANK/MSGSGT_FULL3,,590200,,,,,,43,43,ranked_up_9,RANK/MSGSGT_FULL_N
43,,590200,26300,RANK/MSGSGT,RANK/MSGSGT_FULL4,,616500,,,,,,44,44,ranked_up_9,RANK/MSGSGT_FULL_N
44,,616500,27000,RANK/MSGSGT,RANK/MSGSGT_FULL5,,643500,,,,,,45,45,ranked_up_9,RANK/MSGSGT_FULL_N
45,,643500,27800,RANK/SGTMAJ,RANK/SGTMAJ_FULL,,671300,,,,,,46,46,ranked_up_10,RANK/SGTMAJ_FULL
46,,671300,28600,RANK/SGTMAJ,RANK/SGTMAJ_FULL2,,699900,,,,,,47,47,ranked_up_10,RANK/SGTMAJ_FULL_N
47,,699900,29400,RANK/SGTMAJ,RANK/SGTMAJ_FULL3,,729300,,,,,,48,48,ranked_up_10,RANK/SGTMAJ_FULL_N
48,,729300,30200,RANK/SGTMAJ,RANK/SGTMAJ_FULL4,,759500,,,,,,49,49,ranked_up_10,RANK/SGTMAJ_FULL_N
49,,759500,31000,RANK/SGTMAJ,RANK/SGTMAJ_FULL5,,790500,,,,,,50,50,ranked_up_10,RANK/SGTMAJ_FULL_N
50,,790500,31900,RANK/CSM,RANK/CSM_FULL,,822400,,,,,,51,51,ranked_up_11,RANK/CSM_FULL
51,,822400,32900,RANK/CSM,RANK/CSM_FULL2,,855300,,,,,,52,52,ranked_up_11,RANK/CSM_FULL_N
52,,855300,33900,RANK/CSM,RANK/CSM_FULL3,,889200,,,,,,53,53,ranked_up_11,RANK/CSM_FULL_N
53,,889200,34900,RANK/CSM,RANK/CSM_FULL4,,924100,,,,,,54,54,ranked_up_11,RANK/CSM_FULL_N
54,,924100,35900,RANK/CSM,RANK/CSM_FULL5,,960000,,,,,,55,55,ranked_up_11,RANK/CSM_FULL_N
55,,960000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,980500,,,,,,56,56,ranked_up_11,RANK/PRESTIGE_1
56,,980500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1001000,,,,,,57,57,ranked_up_11,RANK/PRESTIGE_1
57,,1001000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1021500,,,,,,58,58,ranked_up_11,RANK/PRESTIGE_1
58,,1021500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1042000,,,,,,59,59,ranked_up_11,RANK/PRESTIGE_1
59,,1042000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1062500,,,,,,60,60,ranked_up_11,RANK/PRESTIGE_1
60,,1062500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1083000,,,,,,61,61,ranked_up_11,RANK/PRESTIGE_1
61,,1083000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1103500,,,,,,62,62,ranked_up_11,RANK/PRESTIGE_1
62,,1103500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1124000,,,,,,63,63,ranked_up_11,RANK/PRESTIGE_1
63,,1124000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1144500,,,,,,64,64,ranked_up_11,RANK/PRESTIGE_1
64,,1144500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1165000,,,,,,65,65,ranked_up_11,RANK/PRESTIGE_1
65,,1165000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1185500,,,,,,66,66,ranked_up_11,RANK/PRESTIGE_1
66,,1185500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1206000,,,,,,67,67,ranked_up_11,RANK/PRESTIGE_1
67,,1206000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1226500,,,,,,68,68,ranked_up_11,RANK/PRESTIGE_1
68,,1226500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1247000,,,,,,69,69,ranked_up_11,RANK/PRESTIGE_1
69,,1247000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1267500,,,,,,70,70,ranked_up_11,RANK/PRESTIGE_1
70,,1267500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1288000,,,,,,71,71,ranked_up_11,RANK/PRESTIGE_1
71,,1288000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1308500,,,,,,72,72,ranked_up_11,RANK/PRESTIGE_1
72,,1308500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1329000,,,,,,73,73,ranked_up_11,RANK/PRESTIGE_1
73,,1329000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1349500,,,,,,74,74,ranked_up_11,RANK/PRESTIGE_1
74,,1349500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1370000,,,,,,75,75,ranked_up_11,RANK/PRESTIGE_1
75,,1370000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1390500,,,,,,76,76,ranked_up_11,RANK/PRESTIGE_1
76,,1390500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1411000,,,,,,77,77,ranked_up_11,RANK/PRESTIGE_1
77,,1411000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1431500,,,,,,78,78,ranked_up_11,RANK/PRESTIGE_1
78,,1431500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1452000,,,,,,79,79,ranked_up_11,RANK/PRESTIGE_1
79,,1452000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1472500,,,,,,80,80,ranked_up_11,RANK/PRESTIGE_1
80,,1472500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1493000,,,,,,81,81,ranked_up_11,RANK/PRESTIGE_1
81,,1493000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1513500,,,,,,82,82,ranked_up_11,RANK/PRESTIGE_1
82,,1513500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1534000,,,,,,83,83,ranked_up_11,RANK/PRESTIGE_1
83,,1534000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1554500,,,,,,84,84,ranked_up_11,RANK/PRESTIGE_1
84,,1554500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1575000,,,,,,85,85,ranked_up_11,RANK/PRESTIGE_1
85,,1575000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1595500,,,,,,86,86,ranked_up_11,RANK/PRESTIGE_1
86,,1595500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1616000,,,,,,87,87,ranked_up_11,RANK/PRESTIGE_1
87,,1616000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1636500,,,,,,88,88,ranked_up_11,RANK/PRESTIGE_1
88,,1636500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1657000,,,,,,89,89,ranked_up_11,RANK/PRESTIGE_1
89,,1657000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1677500,,,,,,90,90,ranked_up_11,RANK/PRESTIGE_1
90,,1677500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1698000,,,,,,91,91,ranked_up_11,RANK/PRESTIGE_1
91,,1698000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1718500,,,,,,92,92,ranked_up_11,RANK/PRESTIGE_1
92,,1718500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1739000,,,,,,93,93,ranked_up_11,RANK/PRESTIGE_1
93,,1739000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1759500,,,,,,94,94,ranked_up_11,RANK/PRESTIGE_1
94,,1759500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1780000,,,,,,95,95,ranked_up_11,RANK/PRESTIGE_1
95,,1780000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1800500,,,,,,96,96,ranked_up_11,RANK/PRESTIGE_1
96,,1800500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1821000,,,,,,97,97,ranked_up_11,RANK/PRESTIGE_1
97,,1821000,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1841500,,,,,,98,98,ranked_up_11,RANK/PRESTIGE_1
98,,1841500,20500,RANK/PRESTIGE_1,RANK/PRESTIGE_1,,1862000,,,,,,99,99,ranked_up_11,RANK/PRESTIGE_1
99,,1862000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,1882500,,,,,,100,100,ranked_up_11,RANK/PRESTIGE_2
100,,1882500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,1903000,,,,,,101,101,ranked_up_11,RANK/PRESTIGE_2
101,,1903000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,1923500,,,,,,102,102,ranked_up_11,RANK/PRESTIGE_2
102,,1923500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,1944000,,,,,,103,103,ranked_up_11,RANK/PRESTIGE_2
103,,1944000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,1964500,,,,,,104,104,ranked_up_11,RANK/PRESTIGE_2
104,,1964500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,1985000,,,,,,105,105,ranked_up_11,RANK/PRESTIGE_2
105,,1985000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2005500,,,,,,106,106,ranked_up_11,RANK/PRESTIGE_2
106,,2005500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2026000,,,,,,107,107,ranked_up_11,RANK/PRESTIGE_2
107,,2026000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2046500,,,,,,108,108,ranked_up_11,RANK/PRESTIGE_2
108,,2046500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2067000,,,,,,109,109,ranked_up_11,RANK/PRESTIGE_2
109,,2067000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2087500,,,,,,110,110,ranked_up_11,RANK/PRESTIGE_2
110,,2087500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2108000,,,,,,111,111,ranked_up_11,RANK/PRESTIGE_2
111,,2108000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2128500,,,,,,112,112,ranked_up_11,RANK/PRESTIGE_2
112,,2128500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2149000,,,,,,113,113,ranked_up_11,RANK/PRESTIGE_2
113,,2149000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2169500,,,,,,114,114,ranked_up_11,RANK/PRESTIGE_2
114,,2169500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2190000,,,,,,115,115,ranked_up_11,RANK/PRESTIGE_2
115,,2190000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2210500,,,,,,116,116,ranked_up_11,RANK/PRESTIGE_2
116,,2210500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2231000,,,,,,117,117,ranked_up_11,RANK/PRESTIGE_2
117,,2231000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2251500,,,,,,118,118,ranked_up_11,RANK/PRESTIGE_2
118,,2251500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2272000,,,,,,119,119,ranked_up_11,RANK/PRESTIGE_2
119,,2272000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2292500,,,,,,120,120,ranked_up_11,RANK/PRESTIGE_2
120,,2292500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2313000,,,,,,121,121,ranked_up_11,RANK/PRESTIGE_2
121,,2313000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2333500,,,,,,122,122,ranked_up_11,RANK/PRESTIGE_2
122,,2333500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2354000,,,,,,123,123,ranked_up_11,RANK/PRESTIGE_2
123,,2354000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2374500,,,,,,124,124,ranked_up_11,RANK/PRESTIGE_2
124,,2374500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2395000,,,,,,125,125,ranked_up_11,RANK/PRESTIGE_2
125,,2395000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2415500,,,,,,126,126,ranked_up_11,RANK/PRESTIGE_2
126,,2415500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2436000,,,,,,127,127,ranked_up_11,RANK/PRESTIGE_2
127,,2436000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2456500,,,,,,128,128,ranked_up_11,RANK/PRESTIGE_2
128,,2456500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2477000,,,,,,129,129,ranked_up_11,RANK/PRESTIGE_2
129,,2477000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2497500,,,,,,130,130,ranked_up_11,RANK/PRESTIGE_2
130,,2497500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2518000,,,,,,131,131,ranked_up_11,RANK/PRESTIGE_2
131,,2518000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2538500,,,,,,132,132,ranked_up_11,RANK/PRESTIGE_2
132,,2538500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2559000,,,,,,133,133,ranked_up_11,RANK/PRESTIGE_2
133,,2559000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2579500,,,,,,134,134,ranked_up_11,RANK/PRESTIGE_2
134,,2579500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2600000,,,,,,135,135,ranked_up_11,RANK/PRESTIGE_2
135,,2600000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2620500,,,,,,136,136,ranked_up_11,RANK/PRESTIGE_2
136,,2620500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2641000,,,,,,137,137,ranked_up_11,RANK/PRESTIGE_2
137,,2641000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2661500,,,,,,138,138,ranked_up_11,RANK/PRESTIGE_2
138,,2661500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2682000,,,,,,139,139,ranked_up_11,RANK/PRESTIGE_2
139,,2682000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2702500,,,,,,140,140,ranked_up_11,RANK/PRESTIGE_2
140,,2702500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2723000,,,,,,141,141,ranked_up_11,RANK/PRESTIGE_2
141,,2723000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2743500,,,,,,142,142,ranked_up_11,RANK/PRESTIGE_2
142,,2743500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2764000,,,,,,143,143,ranked_up_11,RANK/PRESTIGE_2
143,,2764000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2784500,,,,,,144,144,ranked_up_11,RANK/PRESTIGE_2
144,,2784500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2805000,,,,,,145,145,ranked_up_11,RANK/PRESTIGE_2
145,,2805000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2825500,,,,,,146,146,ranked_up_11,RANK/PRESTIGE_2
146,,2825500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2846000,,,,,,147,147,ranked_up_11,RANK/PRESTIGE_2
147,,2846000,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2866500,,,,,,148,148,ranked_up_11,RANK/PRESTIGE_2
148,,2866500,20500,RANK/PRESTIGE_2,RANK/PRESTIGE_2,,2887000,,,,,,149,149,ranked_up_11,RANK/PRESTIGE_2
149,,2887000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,2907500,,,,,,150,150,ranked_up_11,RANK/PRESTIGE_3
150,,2907500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,2928000,,,,,,151,151,ranked_up_11,RANK/PRESTIGE_3
151,,2928000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,2948500,,,,,,152,152,ranked_up_11,RANK/PRESTIGE_3
152,,2948500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,2969000,,,,,,153,153,ranked_up_11,RANK/PRESTIGE_3
153,,2969000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,2989500,,,,,,154,154,ranked_up_11,RANK/PRESTIGE_3
154,,2989500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3010000,,,,,,155,155,ranked_up_11,RANK/PRESTIGE_3
155,,3010000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3030500,,,,,,156,156,ranked_up_11,RANK/PRESTIGE_3
156,,3030500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3051000,,,,,,157,157,ranked_up_11,RANK/PRESTIGE_3
157,,3051000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3071500,,,,,,158,158,ranked_up_11,RANK/PRESTIGE_3
158,,3071500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3092000,,,,,,159,159,ranked_up_11,RANK/PRESTIGE_3
159,,3092000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3112500,,,,,,160,160,ranked_up_11,RANK/PRESTIGE_3
160,,3112500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3133000,,,,,,161,161,ranked_up_11,RANK/PRESTIGE_3
161,,3133000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3153500,,,,,,162,162,ranked_up_11,RANK/PRESTIGE_3
162,,3153500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3174000,,,,,,163,163,ranked_up_11,RANK/PRESTIGE_3
163,,3174000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3194500,,,,,,164,164,ranked_up_11,RANK/PRESTIGE_3
164,,3194500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3215000,,,,,,165,165,ranked_up_11,RANK/PRESTIGE_3
165,,3215000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3235500,,,,,,166,166,ranked_up_11,RANK/PRESTIGE_3
166,,3235500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3256000,,,,,,167,167,ranked_up_11,RANK/PRESTIGE_3
167,,3256000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3276500,,,,,,168,168,ranked_up_11,RANK/PRESTIGE_3
168,,3276500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3297000,,,,,,169,169,ranked_up_11,RANK/PRESTIGE_3
169,,3297000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3317500,,,,,,170,170,ranked_up_11,RANK/PRESTIGE_3
170,,3317500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3338000,,,,,,171,171,ranked_up_11,RANK/PRESTIGE_3
171,,3338000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3358500,,,,,,172,172,ranked_up_11,RANK/PRESTIGE_3
172,,3358500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3379000,,,,,,173,173,ranked_up_11,RANK/PRESTIGE_3
173,,3379000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3399500,,,,,,174,174,ranked_up_11,RANK/PRESTIGE_3
174,,3399500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3420000,,,,,,175,175,ranked_up_11,RANK/PRESTIGE_3
175,,3420000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3440500,,,,,,176,176,ranked_up_11,RANK/PRESTIGE_3
176,,3440500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3461000,,,,,,177,177,ranked_up_11,RANK/PRESTIGE_3
177,,3461000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3481500,,,,,,178,178,ranked_up_11,RANK/PRESTIGE_3
178,,3481500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3502000,,,,,,179,179,ranked_up_11,RANK/PRESTIGE_3
179,,3502000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3522500,,,,,,180,180,ranked_up_11,RANK/PRESTIGE_3
180,,3522500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3543000,,,,,,181,181,ranked_up_11,RANK/PRESTIGE_3
181,,3543000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3563500,,,,,,182,182,ranked_up_11,RANK/PRESTIGE_3
182,,3563500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3584000,,,,,,183,183,ranked_up_11,RANK/PRESTIGE_3
183,,3584000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3604500,,,,,,184,184,ranked_up_11,RANK/PRESTIGE_3
184,,3604500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3625000,,,,,,185,185,ranked_up_11,RANK/PRESTIGE_3
185,,3625000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3645500,,,,,,186,186,ranked_up_11,RANK/PRESTIGE_3
186,,3645500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3666000,,,,,,187,187,ranked_up_11,RANK/PRESTIGE_3
187,,3666000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3686500,,,,,,188,188,ranked_up_11,RANK/PRESTIGE_3
188,,3686500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3707000,,,,,,189,189,ranked_up_11,RANK/PRESTIGE_3
189,,3707000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3727500,,,,,,190,190,ranked_up_11,RANK/PRESTIGE_3
190,,3727500,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3748000,,,,,,191,191,ranked_up_11,RANK/PRESTIGE_3
191,,3748000,20500,RANK/PRESTIGE_3,RANK/PRESTIGE_3,,3768500,,,,,,192,192,ranked_up_11,RANK/PRESTIGE_3
