iw8_me_riotshield,sticker,0,loadout_showcase_preview_large,,,,,0
iw9_ar_akilo,magazine,0,,,0.2,,-3,0
iw9_ar_akilo,frontpiece,0,,,6.5,,-1.5,0
iw9_ar_akilo,extra,0,,,,,,0
iw9_ar_akilo,optic,0,,,1,,,0
iw9_ar_akilo,undermount,0,,,2,,,0
iw9_ar_akilo,backpiece,0,,,-2,,,0
iw9_ar_akilo,muzzle,0,,,2,,,0
iw9_ar_akilo,reargrip,0,,,-1.5,,-2,0
iw9_ar_akilo74,receiver,0,,,,,,0
iw9_ar_akilo74,magazine,0,,,,,-2,0
iw9_ar_akilo74,frontpiece,0,,,,,-1.5,0
iw9_ar_akilo74,extra,0,,,,,,0
iw9_ar_akilo74,optic,0,,,-3.5,,3,0
iw9_ar_akilo74,undermount,0,,,1,,,0
iw9_ar_akilo74,backpiece,0,,,-1,,,0
iw9_ar_akilo74,muzzle,0,,,2.5,,,0
iw9_ar_akilo74,reargrip,0,,,-1.8,,-2,0
iw9_ar_akilo105,receiver,0,,,,,,0
iw9_ar_akilo105,magazine,0,,,,,-2,0
iw9_ar_akilo105,frontpiece,0,,,,,-1.5,0
iw9_ar_akilo105,extra,0,,,,,,0
iw9_ar_akilo105,optic,0,,,1.5,,0.5,0
iw9_ar_akilo105,undermount,0,,,2,,,0
iw9_ar_akilo105,backpiece,0,,,-2,,,0
iw9_ar_akilo105,muzzle,0,,,4,,,0
iw9_ar_akilo105,reargrip,0,,,-1.5,,-2,0
iw9_ar_mcharlie,receiver,0,,,-5,,0.5,0
iw9_ar_mcharlie,magazine,0,,,-1,,-2,0
iw9_ar_mcharlie,frontpiece,0,,,4,,,0
iw9_ar_mcharlie,extra,0,,,,,,0
iw9_ar_mcharlie,optic,0,,,1,,,0
iw9_ar_mcharlie,undermount,0,,,2.5,,,0
iw9_ar_mcharlie,backpiece,0,,,,,,0
iw9_ar_mcharlie,muzzle,0,,,1,,0.2,0
iw9_ar_mcharlie,reargrip,0,,,-1,,-1,0
iw9_ar_scharlie,receiver,0,,,-4,,0.5,0
iw9_ar_scharlie,magazine,0,,,-1.5,,-2,0
iw9_ar_scharlie,frontpiece,0,,,2.5,,,0
iw9_ar_scharlie,extra,0,,,,,,0
iw9_ar_scharlie,optic,0,,,1,,0.5,0
iw9_ar_scharlie,undermount,0,,,2.5,,,0
iw9_ar_scharlie,backpiece,0,,,-16,,-1.5,0
iw9_ar_scharlie,muzzle,0,,,1,,,0
iw9_ar_scharlie,reargrip,0,,,-1,,-1,0
iw9_la_rpapa7,receiver,0,,,,,,0
iw9_la_rpapa7,magazine,0,,,,,,0
iw9_la_rpapa7,frontpiece,0,,,,,,0
iw9_la_rpapa7,extra,0,,,,,,0
iw9_la_rpapa7,optic,0,,,,,,0
iw9_la_rpapa7,undermount,0,,,,,,0
iw9_la_rpapa7,backpiece,0,,,,,,0
iw9_la_rpapa7,muzzle,0,,,,,,0
iw9_la_rpapa7,reargrip,0,,,,,,0
iw9_la_gromeo,receiver,0,,,,,,0
iw9_la_gromeo,magazine,0,,,,,,0
iw9_la_gromeo,frontpiece,0,,,,,,0
iw9_la_gromeo,extra,0,,,,,,0
iw9_la_gromeo,optic,0,,,,,,0
iw9_la_gromeo,undermount,0,,,,,,0
iw9_la_gromeo,backpiece,0,,,,,,0
iw9_la_gromeo,muzzle,0,,,,,,0
iw9_la_gromeo,reargrip,0,,,,,,0
iw9_la_juliet,receiver,0,,,,,,0
iw9_la_juliet,magazine,0,,,,,,0
iw9_la_juliet,frontpiece,0,,,,,,0
iw9_la_juliet,extra,0,,,,,,0
iw9_la_juliet,optic,0,,,,,,0
iw9_la_juliet,undermount,0,,,,,,0
iw9_la_juliet,backpiece,0,,,,,,0
iw9_la_juliet,muzzle,0,,,,,,0
iw9_la_juliet,reargrip,0,,,,,,0
iw9_la_kgolf,receiver,0,,,,,,0
iw9_la_kgolf,magazine,0,,,,,,0
iw9_la_kgolf,frontpiece,0,,,,,,0
iw9_la_kgolf,extra,0,,,,,,0
iw9_la_kgolf,optic,0,,,,,,0
iw9_la_kgolf,undermount,0,,,,,,0
iw9_la_kgolf,backpiece,0,,,,,,0
iw9_la_kgolf,muzzle,0,,,,,,0
iw9_la_kgolf,reargrip,0,,,,,,0
iw9_la_mike32,receiver,0,,,,,,0
iw9_la_mike32,magazine,0,,,,,,0
iw9_la_mike32,frontpiece,0,,,,,,0
iw9_la_mike32,extra,0,,,,,,0
iw9_la_mike32,optic,0,,,,,,0
iw9_la_mike32,undermount,0,,,,,,0
iw9_la_mike32,backpiece,0,,,,,,0
iw9_la_mike32,muzzle,0,,,,,,0
iw9_la_mike32,reargrip,0,,,,,,0
iw9_dm_mike24,receiver,0,,,-1.5,,1,0
iw9_dm_mike24,magazine,0,,,-1.5,,,0
iw9_dm_mike24,frontpiece,0,,,3,,0.5,0
iw9_dm_mike24,extra,0,,,,,,0
iw9_dm_mike24,optic,0,,,2,,,0
iw9_dm_mike24,undermount,0,,,7,,-1.8,0
iw9_dm_mike24,backpiece,0,,,8,,0.5,0
iw9_dm_mike24,muzzle,0,,,,,,0
iw9_dm_mike24,reargrip,0,,,,,,0
iw9_dm_mike24,bolt,0,,,-3,,1.5,0
iw9_dm_sa700,receiver,0,,,,,,0
iw9_dm_sa700,magazine,0,,,,,,0
iw9_dm_sa700,frontpiece,0,,,6,,,0
iw9_dm_sa700,extra,0,,,,,,0
iw9_dm_sa700,optic,0,,,2,,,0
iw9_dm_sa700,undermount,0,,,2,,0.2,0
iw9_dm_sa700,backpiece,0,,,,,,0
iw9_dm_sa700,muzzle,0,,,,,,0
iw9_dm_sa700,reargrip,0,,,,,,0
iw9_dm_sbeta,receiver,0,,,-2,,2,0
iw9_dm_sbeta,magazine,0,,,4,,1,0
iw9_dm_sbeta,frontpiece,0,,,8,,0.5,0
iw9_dm_sbeta,extra,0,,,-1,,0.5,0
iw9_dm_sbeta,optic,0,,,0.5,,0.5,0
iw9_dm_sbeta,undermount,0,,,4,,-1,0
iw9_dm_sbeta,backpiece,0,,,,,,0
iw9_dm_sbeta,muzzle,0,,,,,,0
iw9_dm_sbeta,reargrip,0,,,,,,0
iw9_dm_sbeta,comb,0,,,-9,,-1,0
iw9_dm_sbeta,lever,0,,,-5,,-1,0
iw9_dm_sbeta,guard,0,,,-14,,,0
iw9_dm_scromeo,receiver,0,,,-3,,0.5,0
iw9_dm_scromeo,magazine,0,,,-1,,,0
iw9_dm_scromeo,frontpiece,0,,,,,,0
iw9_dm_scromeo,extra,0,,,,,,0
iw9_dm_scromeo,optic,0,,,1,,0.5,0
iw9_dm_scromeo,undermount,0,,,1.5,,,0
iw9_dm_scromeo,backpiece,0,,,-9,,,0
iw9_dm_scromeo,muzzle,0,,,,,,0
iw9_dm_scromeo,reargrip,0,,,-1,,-1,0
iw9_dm_la700,receiver,0,,,-2,,2,0
iw9_dm_la700,magazine,0,,,-1,,-0.5,0
iw9_dm_la700,frontpiece,0,,,10,,,0
iw9_dm_la700,extra,0,,,,,,0
iw9_dm_la700,optic,0,,,1,,0.5,0
iw9_dm_la700,undermount,0,,,-8,,-0.3,0
iw9_dm_la700,backpiece,0,,,,,,0
iw9_dm_la700,muzzle,0,,,,,,0
iw9_dm_la700,reargrip,0,,,,,,0
iw9_dm_xmike2010,receiver,0,,,,,,0
iw9_dm_xmike2010,magazine,0,,,,,,0
iw9_dm_xmike2010,frontpiece,0,,,,,,0
iw9_dm_xmike2010,extra,0,,,,,,0
iw9_dm_xmike2010,optic,0,,,,,,0
iw9_dm_xmike2010,undermount,0,,,,,,0
iw9_dm_xmike2010,backpiece,0,,,,,,0
iw9_dm_xmike2010,muzzle,0,,,,,,0
iw9_dm_xmike2010,reargrip,0,,,,,,0
iw9_sn_mromeo,receiver,0,,,-4,,1.3,0
iw9_sn_mromeo,magazine,0,,,-2,,-1,0
iw9_sn_mromeo,frontpiece,0,,,12,,,0
iw9_sn_mromeo,extra,0,,,2.5,,,0
iw9_sn_mromeo,optic,0,,,2.3,,2.5,0
iw9_sn_mromeo,undermount,0,,,-12,,0.1,0
iw9_sn_mromeo,backpiece,0,,,-5,,,0
iw9_sn_mromeo,muzzle,0,,,-20.5,,0.3,0
iw9_sn_mromeo,reargrip,0,,,5,,-50,0
iw9_sn_mromeo,bolt,0,,,5,,-50,0
iw9_sn_alpha50,receiver,0,,,,,,0
iw9_sn_alpha50,magazine,0,,,-2,,-2,0
iw9_sn_alpha50,frontpiece,0,,,14,,-0.25,0
iw9_sn_alpha50,extra,0,,,0.5,,0.3,0
iw9_sn_alpha50,optic,0,,,1.7,,1.5,0
iw9_sn_alpha50,undermount,0,,,13,,-1.5,0
iw9_sn_alpha50,backpiece,0,,,-3,,,0
iw9_sn_alpha50,muzzle,0,,,3,,,0
iw9_sn_alpha50,reargrip,0,,,-1,,-2,0
iw9_sn_alpha50,guard,0,,,,,-2,0
iw9_sn_limax,receiver,0,,,,,,0
iw9_sn_limax,magazine,0,,,,,,0
iw9_sn_limax,frontpiece,0,,,,,,0
iw9_sn_limax,extra,0,,,,,,0
iw9_sn_limax,optic,0,,,,,,0
iw9_sn_limax,undermount,0,,,,,,0
iw9_sn_limax,backpiece,0,,,,,,0
iw9_sn_limax,muzzle,0,,,,,,0
iw9_sn_limax,reargrip,0,,,,,,0
iw9_sh_charlie725,receiver,0,,,-2,,0.5,0
iw9_sh_charlie725,magazine,0,,,,,,0
iw9_sh_charlie725,frontpiece,0,,,15,,,0
iw9_sh_charlie725,extra,0,,,,,1,0
iw9_sh_charlie725,optic,0,,,,,,0
iw9_sh_charlie725,undermount,0,,,2,,,0
iw9_sh_charlie725,backpiece,0,,,-1,,,0
iw9_sh_charlie725,muzzle,0,,,,,,0
iw9_sh_charlie725,reargrip,0,,,,,,0
iw9_sh_charlie725,guard,0,,,-19.5,,-1,0
iw9_sh_mbravo,receiver,0,,,-2,,1.5,0
iw9_sh_mbravo,magazine,0,,,8,,-1,0
iw9_sh_mbravo,frontpiece,0,,,5.5,,-0.5,0
iw9_sh_mbravo,extra,0,,,0.5,,0.5,0
iw9_sh_mbravo,optic,0,,,1.5,,0.5,0
iw9_sh_mbravo,undermount,0,,,2,,,0
iw9_sh_mbravo,backpiece,0,,,-2,,-0.5,0
iw9_sh_mbravo,muzzle,0,,,-0.5,,,0
iw9_sh_mbravo,reargrip,0,,,,,,0
iw9_sh_mbravo,guard,0,,,,,,0
iw9_sh_mviktor,receiver,0,,,,,,0
iw9_sh_mviktor,magazine,0,,,,,,0
iw9_sh_mviktor,frontpiece,0,,,,,,0
iw9_sh_mviktor,extra,0,,,,,,0
iw9_sh_mviktor,optic,0,,,,,,0
iw9_sh_mviktor,undermount,0,,,,,,0
iw9_sh_mviktor,backpiece,0,,,,,,0
iw9_sh_mviktor,muzzle,0,,,,,,0
iw9_sh_mviktor,reargrip,0,,,,,,0
iw9_sh_mike1014,receiver,0,,,-0.5,,2,0
iw9_sh_mike1014,magazine,0,,,,,,0
iw9_sh_mike1014,frontpiece,0,,,5,,-1,0
iw9_sh_mike1014,extra,0,,,,,,0
iw9_sh_mike1014,optic,0,,,,,,0
iw9_sh_mike1014,undermount,0,,,2,,0.5,0
iw9_sh_mike1014,backpiece,0,,,,,,0
iw9_sh_mike1014,muzzle,0,,,,,,0
iw9_sh_mike1014,reargrip,0,,,,,,0
iw9_sh_mike1014,guard,0,,,-13.5,,-1,0
iw9_sh_mike1014,bolt,0,,,-2.5,,,0
iw9_lm_ahotel,receiver,0,,,,,,0
iw9_lm_ahotel,magazine,0,,,,,,0
iw9_lm_ahotel,frontpiece,0,,,,,,0
iw9_lm_ahotel,extra,0,,,,,,0
iw9_lm_ahotel,optic,0,,,,,,0
iw9_lm_ahotel,undermount,0,,,,,,0
iw9_lm_ahotel,backpiece,0,,,,,,0
iw9_lm_ahotel,muzzle,0,,,,,,0
iw9_lm_ahotel,reargrip,0,,,,,,0
iw9_lm_foxtrot,receiver,0,,,,,,0
iw9_lm_foxtrot,magazine,0,,,,,,0
iw9_lm_foxtrot,frontpiece,0,,,7,,-1,0
iw9_lm_foxtrot,extra,0,,,,,,0
iw9_lm_foxtrot,optic,0,,,-2.75,,1.75,0
iw9_lm_foxtrot,undermount,0,,,,,,0
iw9_lm_foxtrot,backpiece,0,,,-1,,,0
iw9_lm_foxtrot,muzzle,0,,,1,,,0
iw9_lm_foxtrot,reargrip,0,,,-1.5,,-2,0
iw9_lm_rkilo,receiver,0,,,,,,0
iw9_lm_rkilo,magazine,0,,,,,-2,0
iw9_lm_rkilo,frontpiece,0,,,,,-1,0
iw9_lm_rkilo,extra,0,,,,,,0
iw9_lm_rkilo,optic,0,,,1,,0.5,0
iw9_lm_rkilo,undermount,0,,,2,,,0
