8771,iw9_ch_stcrbook_kill_kills,CHALLENGE/STCRBOOK_KILL_KILLS,CHALLENGE/STCRBOOK_KILL_KILLS_DESC,50|100|250|500|1000|2500|5000|10000,6086|6608|6776|6354|6302|6058|6155|6198,500|750|1000|1500|2000|3000|5000|10000,1,1,,,,,,BP|BR|MP|RBR|RMP
8906,iw9_ch_stcrbook_dmz_ai_kill,CHALLENGE/STCRBOOK_DMZ_AI_KILL,CHALLENGE/STCRBOOK_DMZ_AI_KILL_DESC,100|250|500|1000|2500|5000,6772|6711|6910|6223|6510|6415,500|1000|2000|3000|5000|10000,20,1,,,,,,BP|BR|RBR
8907,iw9_ch_stcrbook_dmz_operator_kill,CHALLENGE/STCRBOOK_DMZ_OPERATOR_KILL,CHALLENGE/STCRBOOK_DMZ_OPERATOR_KILL_DESC,10|25|50|100|250|500,6900|6106|6546|6186|6514|6052,500|1000|2000|3000|5000|10000,21,1,,,,,,BP|BR|RBR
8908,iw9_ch_stcrbook_dmz_exfil_helicopter,CHALLENGE/STCRBOOK_DMZ_EXFIL_HELICOPTER,CHALLENGE/STCRBOOK_DMZ_EXFIL_HELICOPTER_DESC,1|5|10|25|50|100,6692|6177|6090|6769|6119|6774,500|1000|2000|3000|5000|10000,22,1,,,,,,BP|BR|RBR
9679,iw9_ch_stcrbook_dmz_extract_valuables_goldbar,CHALLENGE/STCRBOOK_DMZ_EXTRACT_VALUABLES,CHALLENGE/STCRBOOK_DMZ_EXTRACT_VALUABLES_DESC,50|100|250|500|1000|2000,6306|6182|6576|6465|6284|6177,500|1000|2000|3000|5000|10000,23,1,,,,,,BP|BR|RBR
9668,iw9_ch_stcrbook_dmz_clear_strongholds,CHALLENGE/STCRBOOK_DMZ_CLEAR_STRONGHOLDS,CHALLENGE/STCRBOOK_DMZ_CLEAR_STRONGHOLDS_DESC,5|10|25|50|100|250,6730|6921|6372|6542|6509|6157,500|1000|2000|3000|5000|10000,24,1,,,,,,BP|BR|RBR
9669,iw9_ch_stcrbook_dmz_unlock_doors,CHALLENGE/STCRBOOK_DMZ_UNLOCK_DOORS,CHALLENGE/STCRBOOK_DMZ_UNLOCK_DOORS_DESC,5|10|25|50|100|250,6221|6175|6746|6738|6146|6047,500|1000|2000|3000|5000|10000,25,1,,,,,,BP|BR|RBR
9670,iw9_ch_stcrbook_dmz_kill_armored_ai,CHALLENGE/STCRBOOK_DMZ_KILL_ARMORED_AI,CHALLENGE/STCRBOOK_DMZ_KILL_ARMORED_AI_DESC,25|50|100|250|500|750,6169|6735|6117|6549|6130|6707,500|1000|2000|3000|5000|10000,26,1,,,,,,BP|BR|RBR
9671,iw9_ch_stcrbook_dmz_loot_caches,CHALLENGE/STCRBOOK_DMZ_LOOT_CACHES,CHALLENGE/STCRBOOK_DMZ_LOOT_CACHES_DESC,25|50|100|250|500|1000,6784|6365|6131|6404|6227|6201,500|1000|2000|3000|5000|10000,27,1,,,,,,BP|BR|RBR
9686,compound_iw9_ae_kind_sticker_book_15_exfil,CHALLENGE/STICKERBOOK_MASTERY_15_EXFIL,CHALLENGE/STICKERBOOK_MASTERY_15_EXFIL_DESC,1,6341,10000,15,2,8901,,,,,
9687,compound_iw9_ae_kind_sticker_book_16_exfil_cash,CHALLENGE/STICKERBOOK_MASTERY_16_EXFIL_CASH,CHALLENGE/STICKERBOOK_MASTERY_16_EXFIL_CASH_DESC,1,6305,10000,16,2,8902,,,,,
9688,compound_iw9_ae_kind_sticker_book_17_uav_tower,CHALLENGE/STICKERBOOK_MASTERY_17_UAV_TOWER,CHALLENGE/STICKERBOOK_MASTERY_17_UAV_TOWER_DESC,1,6464,10000,17,2,8903,,,,,
9689,compound_iw9_ae_kind_sticker_book_18_contacts,CHALLENGE/STICKERBOOK_MASTERY_18_CONTRACTS,CHALLENGE/STICKERBOOK_MASTERY_18_CONTRACTS_DESC,1,6431,10000,18,2,8904,,,,,
9690,compound_iw9_ae_kind_sticker_book_19_bosses,CHALLENGE/STICKERBOOK_MASTERY_19_BOSSES,CHALLENGE/STICKERBOOK_MASTERY_19_BOSSES_DESC,1,6830,10000,19,2,8905,,,,,
9691,compound_iw9_ae_kind_sticker_book_20_ai_kill,CHALLENGE/STICKERBOOK_MASTERY_20_AI_KILL,CHALLENGE/STICKERBOOK_MASTERY_20_AI_KILL_DESC,1,6715,10000,20,2,8906,,,,,
9692,compound_iw9_ae_kind_sticker_book_21_operator_kill,CHALLENGE/STICKERBOOK_MASTERY_21_OPERATOR_KILL,CHALLENGE/STICKERBOOK_MASTERY_21_OPERATOR_KILL_DESC,1,6729,10000,21,2,8907,,,,,
9693,compound_iw9_ae_kind_sticker_book_22_final_exfil,CHALLENGE/STICKERBOOK_MASTERY_22_EXFIL_HELICOPTER,CHALLENGE/STICKERBOOK_MASTERY_22_EXFIL_HELICOPTER_DESC,1,6566,10000,22,2,8908,,,,,
9694,compound_iw9_ae_kind_sticker_book_23_gold_bar,CHALLENGE/STICKERBOOK_MASTERY_23_VALUABLES,CHALLENGE/STICKERBOOK_MASTERY_23_VALUABLES_DESC,1,6599,10000,23,2,9679,,,,,
9699,compound_iw9_ae_kind_sticker_book_24_stronghold,CHALLENGE/STICKERBOOK_MASTERY_24_CLEAR_STRONGHOLD,CHALLENGE/STICKERBOOK_MASTERY_24_CLEAR_STRONGHOLD_DESC,1,6112,10000,24,2,9668,,,,,
9696,compound_iw9_ae_kind_sticker_book_25_door_unlock,CHALLENGE/STICKERBOOK_MASTERY_25_UNLOCK_DOORS,CHALLENGE/STICKERBOOK_MASTERY_25_UNLOCK_DOORS_DESC,1,6326,10000,25,2,9669,,,,,
9697,compound_iw9_ae_kind_sticker_book_26_armored_agents,CHALLENGE/STICKERBOOK_MASTERY_26_ARMORED_AGENTS,CHALLENGE/STICKERBOOK_MASTERY_26_ARMORED_AGENTS_DESC,1,6261,10000,26,2,9670,,,,,
9698,compound_iw9_ae_kind_sticker_book_27_loot_cache,CHALLENGE/STICKERBOOK_MASTERY_27_LOOT_CACHES,CHALLENGE/STICKERBOOK_MASTERY_27_LOOT_CACHES_DESC,1,6371,10000,27,2,9671,,,,,
9656,iw9_ch_br_stcrbook_mode_win_match,CHALLENGE/BR_STICKERBOOK_MASTERY_WINS,CHALLENGE/BR_STICKERBOOK_MASTERY_WINS_DESC,1|5|10|25|50|100,6766|6545|6030|6085|6928|6270,5000|5000|5000|5000|5000|5000,40,1,,,,,,BR|RBR
9664,compound_iw9_ch_br_stcrbook_win_match,CHALLENGE/BR_STICKERBOOK_MASTERY_WINS,CHALLENGE/BR_STICKERBOOK_MASTERY_COMP_WINS_DESC,1,6251,10000,40,2,9656,,,,,
9734,iw9_ch_br_stcrbook_operator_kills,CHALLENGE/BR_STICKERBOOK_MASTERY_KILLS,CHALLENGE/BR_STICKERBOOK_MASTERY_KILLS_DESC,10|25|50|100|250|500,6373|6590|6636|6828|6589|6686,5000|5000|5000|5000|5000|5000,41,1,,,,,,BR|RBR
9665,compound_iw9_ch_br_stcrbook_kills,CHALLENGE/BR_STICKERBOOK_MASTERY_KILLS,CHALLENGE/BR_STICKERBOOK_MASTERY_COMP_KILLS_DESC,1,6134,10000,41,2,9734,,,,,
9658,iw9_ch_br_stcrbook_contracts_complete,CHALLENGE/BR_STICKERBOOK_MASTERY_CONTRACTS,CHALLENGE/BR_STICKERBOOK_MASTERY_CONTRACTS_DESC,10|25|50|100|250|500,6908|6285|6795|6235|6845|6237,5000|5000|5000|5000|5000|5000,42,1,,,,,,BR|RBR
9666,compound_iw9_ch_br_stcrbook_contracts_complete,CHALLENGE/BR_STICKERBOOK_MASTERY_CONTRACTS,CHALLENGE/BR_STICKERBOOK_MASTERY_COMP_CONTRACTS_DESC,1,6437,10000,42,2,9658,,,,,
9969,iw9_ch_br_stcrbook_open_containers,CHALLENGE/BR_STICKERBOOK_MASTERY_CONTAINERS,CHALLENGE/BR_STICKERBOOK_MASTERY_CONTAINERS_DESC,25|50|100|250|500|1000,6224|6935|6298|6869|6292|6346,5000|5000|5000|5000|5000|5000,43,1,,,,,,BR|RBR
9970,compound_iw9_ch_br_stcrbook_open_containers,CHALLENGE/BR_STICKERBOOK_MASTERY_CONTAINERS,CHALLENGE/BR_STICKERBOOK_MASTERY_COMP_CONTAINERS_DESC,1,6461,10000,43,2,9969,,,,,
14635,iw9_ch_stcrbook_kill_killstreak_nuke,CHALLENGE/STCRBOOK_KILL_KILLSTREAK_NUKE,CHALLENGE/STCRBOOK_KILL_KILLSTREAK_NUKE_DESC,1|3|5|10,6116|6653|6818|6553,500|2000|5000|10000,44,1,,,,,,MP|RMP
14636,compound_iw9_ae_kind_sticker_book_28_nuke,CHALLENGE/STICKERBOOK_MASTERY_28_KILLSTREAK_NUKE,CHALLENGE/STICKERBOOK_MASTERY_28_KILLSTREAK_NUKE_DESC,1,6046,0,44,2,14635,,,,,
