16,perk_pack_ammo_buff,CP_PERKS/PERK_PACK_AMMO_BUFF_NAME,CP_PERKS/PERK_PACK_AMMO_BUFF_DESC,perk_icon_fmj,perk,,,cpcrate_perk_pack_ammo_buff
17,perk_pack_armor_buff,CP_PERKS/PERK_PACK_ARMOR_BUFF_NAME,CP_PERKS/PERK_PACK_ARMOR_BUFF_DESC,hud_icon_fieldupgrade_hardened_armor,perk,,,cpcrate_perk_pack_armor_buff
18,gasmask,CP_WEAPON_BUY/GASMASK,,icon_meter_gasmask,misc,,,cpcrate_gasmask
19,halligan,CP_WEAPON_BUY/HALLIGAN_TOOL,,icon_weapon_me_tactical_knife_v51,weapon,,,cpcrate_halligan
20,ammo,CP_WEAPON_BUY/BUY_AMMO,CP_WEAPON_BUY/BUY_AMMO_DESC,hud_icon_br_ammo_arlmg,misc,,,cpcrate_ammo
21,armor,CP_WEAPON_BUY/BUY_ARMOR,,ui_mp_br_loot_icon_health_armor_plates,misc,,,cpcrate_armor
22,weapon_upgrade,CP_WEAPON_BUY/BUY_WEAPON_UPGRADE,,hud_icon_survival_weapon,misc,,,cpcrate_weapon_upgrade
23,c4_inc_breach,CP_WEAPON_BUY/BREACH_CHARGE,,hud_icon_equipment_c4,equipment,,,cpcrate_c4_inc_breach
24,respawn_teammate,CP_WEAPON_BUY/RESPAWN_TEAMMATE,,cp_hud_revive,respawn,,,cpcrate_respawn_teammate
25,random_item_box,COOP_GAME_PLAY/RANDOM_ITEM_BOX,,hud_icon_br_plunder_box,box,,,cpcrate_random_item_box
26,precision_airstrike,KILLSTREAKS/PRECISION_AIRSTRIKE,,hud_icon_killstreak_airstrike,killstreak,1000,,cp_crate_killstreak_precision_airstrike
27,hover_jet,KILLSTREAKS/HOVER_JET,,hud_icon_killstreak_hover_jet,killstreak,2000,,cp_crate_killstreak_hover_jet
28,equip_ascender,CP_WEAPON_BUY/ASCENDER,,hud_icon_equipment_flare,equipment,,,cpcrate_equip_ascender
29,sentry_gun,KILLSTREAKS/SENTRY,,hud_icon_killstreak_sentry,killstreak,2500,,cp_crate_killstreak_sentry_gun
30,cruise_missile,KILLSTREAKS/CRUISE_PREDATOR,,hud_icon_killstreak_cruise_missile,killstreak,1000,,cp_crate_killstreak_cruise_missile
31,delta_squad,CP_WEAPON_BUY/DELTA_SQUAD,,hud_icon_fieldupgrade_inflatable_decoy,killstreak,1500,,cp_crate_killstreak_delta_squad
32,cover,CP_WEAPON_BUY/BUY_COVER,,hud_icon_equipment_tac_cover,killstreak,500,,cp_crate_cover
33,self_revive_cp_observatory,EQUIPMENT/SELF_REVIVE,,ui_mp_br_loot_icon_self_revive_kit,equipment,1000,,cpcrate_self_revive
34,munitions_crate,CP_WEAPON_BUY/BUY_MUNITIONS_CRATE,,hud_icon_fieldupgrade_ammo_box,killstreak,500,,cpcrate_ammo
35,armor_satchel,COOP_GAME_PLAY/ARMOR_SATCHEL,,ui_mp_br_loot_icon_health_armor_satchel,killstreak,0,,brloot_plate_pouch
36,juggernaut,CP_WEAPON_BUY/BUY_JUGGERNAUT,,hud_icon_killstreak_juggernaut,killstreak,8000,,cp_crate_killstreak_juggernaut
37,cluster_spike,KILLSTREAKS/CLUSTER_SPIKE,,hud_icon_killstreak_clusterspike,killstreak,500,,cp_crate_killstreak_cluster_spike
38,auto_drone,KILLSTREAKS/AUTO_DRONE,,hud_icon_killstreak_auto_drone,killstreak,3000,,cp_crate_killstreak_auto_drone
39,skiptimer,CP_WEAPON_BUY/SKIPTIMER,,hud_icon_killstreak_death_switch,misc,,,cpcrate_skiptimer
